,Errors in %
0.0001,77.27728864905802
0.001,18.632648553125687
0.01,8.518728896462495
0.1,6.214801140248456
1.0,5.711945259658977
10.0,5.619589342253358
100.0,5.513742939190255
1000.0,5.626019018166136
10000.0,5.533216047629566
100000.0,5.612883545289111
1000000.0,5.573056370770089
10000000.0,5.711642841364511
100000000.0,5.692564191570155
